Sample_ID,Bioproject,Name_cn,Name,Whiteness Degree of Complete Grain (%),Whiteness Degree of Dead Grain (%),Amylose Content of Grain (%),Protein Content of Grain (%),Taste Score of Cooked Grain,Water Content of Grain,Awn Length (cm),Grain Length (mm),Grain Width (mm),Grain Thickness (mm),Grain Length Width Ratio (%),1000-Grain Weight (g),Flag Leaf Length (cm),Flag Leaf Width (cm),Leaf Blade Width (cm),Leaf Sheath Color,Leaf Rolling Index (%),Plant Height (cm),Panicle Length (cm),Culm Length (cm),Ligule Llength (mm),SPAD Value of Flag Leaf,Tiller Number per Plant (num),Blighted Grains per Plant (num),Blighted Grains per Panicle (num),Blighted Grains Weight per Plant (g),Filled Grains per Plant,Filled Grains per Panicle,Filled Grains Weight per Plant (g),Grain Number per Panicle (num),Seed Setting Rate (%),Grain Yield per Plant (g),Panicle Number per Plant (num),Number of Productive Panicle per Plant (num),Panicle Weight (g),Spikelet Number per Panicle (num),Panicle Weight per Plant (g),Yield per Plant (g),"Heading Date (50%, days)",Seedling Height (cm),Cd concentration,Treatment,Years,Region,Region_cn
SAMC008129,PRJCA000322,秀水04,XiuShui04,,,,,,,,7,3.4,,,25.8,,,,,,154,,,,,8,,,,,,,,,35.8,,,,,,,118,,,,2015,Beijing,北京市
SAMC008130,PRJCA000322,镇稻6号,ZhenDao6Hao,,,,,,,,6.9,3.1,,,13.5,,,,,,110,,,,,10,,,,,,,,,15.7,,,,,,,139,,,,2015,Beijing,北京市
SAMC008131,PRJCA000322,淮稻6号,HuaiDao6Hao,,,,,,,,6.9,3.2,,,21,,,,,,97,,,,,11,,,,,,,,,19.9,,,,,,,133,,,,2015,Beijing,北京市
SAMC008132,PRJCA000322,武育粳5号,WuYuGeng5Hao,,,,,,,,6.7,3.1,,,19.3,,,,,,109,,,,,13,,,,,,,,,20.5,,,,,,,137,,,,2015,Beijing,北京市
SAMC008133,PRJCA000322,Pi5,Pi5,,,,,,,,7.3,3,,,23.3,,,,,,130,,,,,16,,,,,,,,,37.7,,,,,,,129,,,,2015,Beijing,北京市
SAMC008134,PRJCA000322,喜峰,XiFeng,,,,,,,,6.6,3,,,21.9,,,,,,108,,,,,9,,,,,,,,,20.9,,,,,,,104,,,,2015,Beijing,北京市
SAMC008135,PRJCA000322,中丹1号,ZhongDan1Hao,,,,,,,,7.1,3.1,,,25.2,,,,,,106,,,,,12,,,,,,,,,27.8,,,,,,,100,,,,2015,Beijing,北京市
SAMC008137,PRJCA000322,黄金晴,HuangJinQing,,,,,,,,6.9,3,,,20.6,,,,,,109,,,,,12,,,,,,,,,20.8,,,,,,,132,,,,2015,Beijing,北京市
SAMC008139,PRJCA000322,扬粳201,YangGeng201,,,,,,,,6.7,3,,,14.5,,,,,,105,,,,,9,,,,,,,,,14.4,,,,,,,127,,,,2015,Beijing,北京市
SAMC008140,PRJCA000322,虹糯,HongNuo,,,,,,,,7.5,3,,,24.4,,,,,,153,,,,,13,,,,,,,,,,,,,,,,93,,,,2015,Beijing,北京市
SAMC008141,PRJCA000322,矮箕糯米,AiJiNuoMi,,,,,,,,,,,,,,,,,,126,,,,,11,,,,,,,,,,,,,,,,147,,,,2015,Beijing,北京市
SAMC008142,PRJCA000322,武复粳,WuFuGeng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Beijing,北京市
SAMC008143,PRJCA000322,武育粳2号,WuYuGeng2Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Beijing,北京市
SAMC008144,PRJCA000322,秀水37,XiuShui37,,,,,,,,7,3.3,,,27.1,,,,,,104,,,,,7,,,,,,,,,13.1,,,,,,,125,,,,2015,Beijing,北京市
SAMC008145,PRJCA000322,镇稻7号,ZhenDao7Hao,,,,,,,,6.7,3.2,,,23.2,,,,,,114,,,,,9,,,,,,,,,17.9,,,,,,,133,,,,2015,Beijing,北京市
SAMC008146,PRJCA000322,月光,YueGuang,,,,,,,,6.7,3.1,,,20.7,,,,,,103,,,,,8,,,,,,,,,,,,,,,,129,,,,2015,Beijing,北京市
SAMC008147,PRJCA000322,武香稻1号,WuXiangDao1Hao,,,,,,,,6.9,3.3,,,18.6,,,,,,109,,,,,7,,,,,,,,,,,,,,,,129,,,,2015,Beijing,北京市
SAMC008148,PRJCA000322,镇稻88,ZhenDao88Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Beijing,北京市
SAMC008149,PRJCA000322,镇稻99,ZhenDao99Hao,,,,,,,,6.9,3.1,,,20.2,,,,,,97,,,,,13,,,,,,,,,27.4,,,,,,,135,,,,2015,Beijing,北京市
SAMC008150,PRJCA000322,镇稻1号,ZhenDao1Hao,,,,,,,,7.1,3.1,,,19,,,,,,116,,,,,12,,,,,,,,,27,,,,,,,127,,,,2015,Beijing,北京市
SAMC008151,PRJCA000322,农垦58,Nongken 58,,,,,,,,7.3,3.1,,,15.2,,,,,,79,,,,,11,,,,,,,,,,,,,,,,141,,,,2015,Beijing,北京市
SAMC008152,PRJCA000322,老虎稻,LaoHuDao,,,,,,,,,,,,,,,,,,158,,,,,9,,,,,,,,,,,,,,,,146,,,,2015,Beijing,北京市
SAMC008153,PRJCA000322,农虎6号,NongHu6Hao,,,,,,,,,,,,,,,,,,114,,,,,7,,,,,,,,,,,,,,,,146,,,,2015,Beijing,北京市
SAMC008154,PRJCA000322,辐农709,FuNong709,,,,,,,,,,,,,,,,,,107,,,,,9,,,,,,,,,,,,,,,,147,,,,2015,Beijing,北京市
SAMC008155,PRJCA000322,秀水04,XiuShui04,,,,,,,,6.6,3.1,,,16,,,,,,107,,,,,9,,,,,,,,,7,,,,,,,140,,,,2015,Beijing,北京市
SAMC008156,PRJCA000322,黄壳早20日,HuangKeZao20Ri,,,,,,,,7.1,3.4,,,25.2,,,,,,157,,,,,7,,,,,,,,,35.1,,,,,,,116,,,,2015,Beijing,北京市
SAMC008157,PRJCA000322,复羽,FuYu,,,,,,,,6.7,3,,,16.1,,,,,,97,,,,,10,,,,,,,,,12.2,,,,,,,135,,,,2015,Beijing,北京市
SAMC008158,PRJCA000322,紫金糯,ZiJinNuo,,,,,,,,6.4,3.2,,,19.7,,,,,,95,,,,,11,,,,,,,,,18.3,,,,,,,131,,,,2015,Beijing,北京市
SAMC008159,PRJCA000322,紫金粳1号,ZiJinGeng1Hao,,,,,,,,7.1,3.5,,,18.7,,,,,,88,,,,,7,,,,,,,,,17.5,,,,,,,132,,,,2015,Beijing,北京市
SAMC008160,PRJCA000322,盐粳187,YanGeng187,,,,,,,,7,3.3,,,22.9,,,,,,100,,,,,8,,,,,,,,,20.5,,,,,,,131,,,,2015,Beijing,北京市
SAMC008161,PRJCA000322,南粳36,NanGeng36,,,,,,,,7.2,3.1,,,19.6,,,,,,100,,,,,13,,,,,,,,,22.9,,,,,,,133,,,,2015,Beijing,北京市
SAMC008162,PRJCA000322,扬粳687,YangGeng687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Beijing,北京市
SAMC008163,PRJCA000322,华粳2号,HuaGeng2Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Beijing,北京市
SAMC008164,PRJCA000322,秀水11,XiuShui11,,,,,,,,,,,,,,,,,,91,,,,,11,,,,,,,,,,,,,,,,158,,,,2015,Beijing,北京市
SAMC008165,PRJCA000322,嘉糊6号,JiaHu6Hao,,,,,,,,,,,,,,,,,,121,,,,,11,,,,,,,,,,,,,,,,146,,,,2015,Beijing,北京市
SAMC008166,PRJCA000322,嘉33,Jia33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Beijing,北京市
SAMC008167,PRJCA000322,9522,9522,,,,,,,,7.2,3.2,,,15.2,,,,,,106,,,,,8,,,,,,,,,9.9,,,,,,,142,,,,2015,Beijing,北京市
SAMC008168,PRJCA000322,春江03,ChunJiang03,,,,,,,,7.1,3.2,,,12.8,,,,,,105,,,,,9,,,,,,,,,9.3,,,,,,,144,,,,2015,Beijing,北京市
SAMC008169,PRJCA000322,武粳15,WuGeng15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Beijing,北京市
SAMC008170,PRJCA000322,武育粳30,WuYuGeng30Hao,,,,,,,,6.9,3.2,,,17.7,,,,,,105,,,,,7,,,,,,,,,13.3,,,,,,,131,,,,2015,Beijing,北京市
SAMC008171,PRJCA000322,盐稻12号,YanDao12Hao,,,,,,,,7,2.8,,,17,,,,,,97,,,,,9,,,,,,,,,12.2,,,,,,,137,,,,2015,Beijing,北京市
SAMC008172,PRJCA000322,武育粳3号,WuYuGeng3Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Beijing,北京市
SAMC008173,PRJCA000322,鄂中5号,EZhong5Hao,,,,,,,,6.4,3.1,,,22.2,,,,,,128,,,,,12,,,,,,,,,36.9,,,,,,,121,,,,2015,Beijing,北京市
SAMC008174,PRJCA000322,台中育39,TaiZhongYu39,,,,,,,,6.6,3.1,,,22.4,,,,,,122,,,,,10,,,,,,,,,23.8,,,,,,,121,,,,2015,Beijing,北京市
SAMC008175,PRJCA000322,太湖糯,TaiHuNuo,,,,,,,,6.8,3.3,,,16.8,,,,,,108,,,,,7,,,,,,,,,9.3,,,,,,,139,,,,2015,Beijing,北京市
SAMC008176,PRJCA000322,太湖粳2号,TaiHuGeng2Hao,,,,,,,,6.9,3.3,,,17.6,,,,,,113,,,,,9,,,,,,,,,21.6,,,,,,,135,,,,2015,Beijing,北京市
SAMC008177,PRJCA000322,常农粳1号,ChangNongGeng1Hao,,,,,,,,7.2,3,,,18.8,,,,,,111,,,,,5,,,,,,,,,13.1,,,,,,,128,,,,2015,Beijing,北京市
SAMC008178,PRJCA000322,常农粳3号,ChangNongGeng3Hao,,,,,,,,6.8,3.2,,,16.9,,,,,,110,,,,,6,,,,,,,,,15.9,,,,,,,135,,,,2015,Beijing,北京市
SAMC008179,PRJCA000322,秀水63,XiuShui63,,,,,,,,7.1,3.1,,,20.2,,,,,,116,,,,,6,,,,,,,,,12.7,,,,,,,136,,,,2015,Beijing,北京市
SAMC008180,PRJCA000322,常农粳4号,ChangNongGeng4Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Beijing,北京市
SAMC008181,PRJCA000322,香粳,XiangGeng,,,,,,,,7,3.3,,,25.5,,,,,,155,,,,,10,,,,,,,,,30.1,,,,,,,132,,,,2015,Beijing,北京市
SAMC008182,PRJCA000322,太湖粳,TaiHuGeng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Beijing,北京市
