Sample_ID,Bioproject,Name_cn,Name,Whiteness_Degree_of_Complete_Grain(%),Whiteness_Degree_of_Dead_Grain(%),Amylose_Content_of_Grain(%),Protein_Content_of_Grain(%),Taste_Score_of_Cooked_Grain,Water_Content_of_Grain,Awn_Length(cm),Grain_Length(mm),Grain_Width(mm),Grain_Thickness(mm),1000_Grain_Weight(g),"Heading_Date(50%,days)",Flag_Leaf_Length(cm),Flag_Leaf_Width(cm),Leaf_Blade_Width(cm),Leaf_Sheath_Color,Plant_Height(cm),Panicle_Length(cm),Culm_Length(cm),SPAD_Value_of_Flag_Leaf,Tiller_Number_per_Plant(num),Blighted_Grains_per_Plant(num),Blighted_Grains_per_Panicle(num),Blighted_Grains_Weight_per_Plant(g),Filled_Grains_per_Plant(num),Filled_Grains_per_Panicle(num),Filled_Grains_Weight_per_Plant(g),Grain_Number_per_Panicle(num),Seed_Setting_Rate(%),Grain_Yield_per_Plant(g),Panicle_Number_per_Plant(num),Number_of_Productive_Panicle_per_Plant(num),Panicle_Weight(g),Spikelet_Number_per_Panicle(num),Panicle_Weight_per_Plant(g),Yield_per_Plant(g),Cd_concentration,Treatment,Years,Region
SAMC008170,PRJCA000322,武育粳30,WuYuGeng30Hao,,,,,,,,6.9,3.2,,17.7,131,,,,,105,,,,7,,,,,,,,,13.3,,,,,,,,,2015,Beijing
SAMC008171,PRJCA000322,盐稻12号,YanDao12Hao,,,,,,,,7,2.8,,17,137,,,,,97,,,,9,,,,,,,,,12.2,,,,,,,,,2015,Beijing
SAMC008173,PRJCA000322,鄂中5号,EZhong5Hao,,,,,,,,6.4,3.1,,22.2,121,,,,,128,,,,12,,,,,,,,,36.9,,,,,,,,,2015,Beijing
SAMC008174,PRJCA000322,台中育39,TaiZhongYu39,,,,,,,,6.6,3.1,,22.4,121,,,,,122,,,,10,,,,,,,,,23.8,,,,,,,,,2015,Beijing
SAMC008175,PRJCA000322,太湖糯,TaiHuNuo,,,,,,,,6.8,3.3,,16.8,139,,,,,108,,,,7,,,,,,,,,9.3,,,,,,,,,2015,Beijing
SAMC008176,PRJCA000322,太湖粳2号,TaiHuGeng2Hao,,,,,,,,6.9,3.3,,17.6,135,,,,,113,,,,9,,,,,,,,,21.6,,,,,,,,,2015,Beijing
SAMC008177,PRJCA000322,常农粳1号,ChangNongGeng1Hao,,,,,,,,7.2,3,,18.8,128,,,,,111,,,,5,,,,,,,,,13.1,,,,,,,,,2015,Beijing
SAMC008178,PRJCA000322,常农粳3号,ChangNongGeng3Hao,,,,,,,,6.8,3.2,,16.9,135,,,,,110,,,,6,,,,,,,,,15.9,,,,,,,,,2015,Beijing
SAMC008179,PRJCA000322,秀水63,XiuShui63,,,,,,,,7.1,3.1,,20.2,136,,,,,116,,,,6,,,,,,,,,12.7,,,,,,,,,2015,Beijing
SAMC008181,PRJCA000322,香粳,XiangGeng,,,,,,,,7,3.3,,25.5,132,,,,,155,,,,10,,,,,,,,,30.1,,,,,,,,,2015,Beijing
SAMC008183,PRJCA000322,徐稻3号,XuDao3Hao,,,,,,,,6.9,3.1,,21.3,124,,,,,98,,,,17,,,,,,,,,17.9,,,,,,,,,2015,Beijing
SAMC008184,PRJCA000322,连粳7号,LianGeng7Hao,,,,,,,,7,3.1,,22.7,126,,,,,102,,,,10,,,,,,,,,24.3,,,,,,,,,2015,Beijing
SAMC008185,PRJCA000322,圣稻16,ShengDao16,,,,,,,,7.3,3.2,,25.8,126,,,,,104,,,,7,,,,,,,,,31.1,,,,,,,,,2015,Beijing
SAMC008186,PRJCA000322,阳光200,YangGuang200,,,,,,,,7,3.3,,27.4,121,,,,,110,,,,11,,,,,,,,,42.8,,,,,,,,,2015,Beijing
SAMC008187,PRJCA000322,阳光600,YangGuang600,,,,,,,,6.8,3.2,,25.1,121,,,,,101,,,,8,,,,,,,,,32.7,,,,,,,,,2015,Beijing
SAMC008188,PRJCA000322,大粮203,DaLiang203,,,,,,,,7.3,3.1,,25.9,121,,,,,103,,,,6,,,,,,,,,26.1,,,,,,,,,2015,Beijing
SAMC008189,PRJCA000322,临稻16,LinDao16Hao,,,,,,,,6.7,3.5,,29.8,121,,,,,99,,,,8,,,,,,,,,35.4,,,,,,,,,2015,Beijing
SAMC008190,PRJCA000322,临稻17,LinDao17Hao,,,,,,,,7.4,3.3,,25.9,120,,,,,102,,,,15,,,,,,,,,49,,,,,,,,,2015,Beijing
SAMC008191,PRJCA000322,临稻18,LinDao18Hao,,,,,,,,7.3,3.1,,26.2,120,,,,,97,,,,14,,,,,,,,,52.2,,,,,,,,,2015,Beijing
SAMC008192,PRJCA000322,郑稻18,ZhengDao18Hao,,,,,,,,7,3.2,,24.1,121,,,,,100,,,,14,,,,,,,,,39.2,,,,,,,,,2015,Beijing
SAMC008193,PRJCA000322,新稻20,XinDao20,,,,,,,,7.1,3.3,,26.5,123,,,,,104,,,,8,,,,,,,,,28.7,,,,,,,,,2015,Beijing
SAMC008194,PRJCA000322,新稻29,XinDao29,,,,,,,,7.1,3.3,,26.1,123,,,,,108,,,,9,,,,,,,,,40.9,,,,,,,,,2015,Beijing
SAMC008195,PRJCA000322,连粳8号,LianGeng8Hao,,,,,,,,7.2,3.3,,28,126,,,,,104,,,,10,,,,,,,,,33.7,,,,,,,,,2015,Beijing
SAMC008196,PRJCA000322,津稻1007,JinDao1007,,,,,,,,7,3.2,,24.9,123,,,,,104,,,,7,,,,,,,,,26.4,,,,,,,,,2015,Beijing
SAMC008197,PRJCA000322,津稻263,JinDao263,,,,,,,,7,3.1,,21.2,123,,,,,103,,,,9,,,,,,,,,36.1,,,,,,,,,2015,Beijing
SAMC008198,PRJCA000322,苏秀10号,SuXiu10Hao,,,,,,,,6.9,3.1,,24.3,125,,,,,107,,,,9,,,,,,,,,33.6,,,,,,,,,2015,Beijing
