Sample_ID,Bioproject,Name,Name_cn,Upper leaf number,Total leaf number,Days to anthesis,Plant height,Ear height,Relative ear height,Leaf width,Leaf length,Tassel length,Tassel branch number,Lower leaf angle,Upper leaf angle,Stem diameter,Cobcolor,Kernelcolor,ERN,Days to silking,Anthesis to silking interval,Unnamed: 22,Treatment,Years,location,Region_cn,Region
N28,PRJNA609577,N28,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
LD61,PRJNA609577,LD61,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
LH212Ht,PRJNA609577,LH212Ht,-,,,81.0,224.7,89.5,39.8,7.9,74.3,31.6,4.9,149.8,30.5,,,,,82.0,1.0,,,2017,JiLin Province,吉林省,Jilin
LH208,PRJNA609577,LH208,-,,,79.5,210.6,79.5,37.7,8.3,70.4,33.1,5.9,143.7,44.2,,,,,83.0,3.5,,,2017,JiLin Province,吉林省,Jilin
LH181,PRJNA609577,LH181,-,,,80.5,256.9,103.6,40.3,11.1,73.4,38.6,5.3,158.6,19.5,,,,,85.5,5.0,,,2017,JiLin Province,吉林省,Jilin
LH128,PRJNA609577,LH128,-,,,82.5,222.0,68.0,30.6,7.6,66.7,27.5,6.5,150.1,22.3,,,,,84.0,1.5,,,2017,JiLin Province,吉林省,Jilin
NL001,PRJNA609577,NL001,-,,,79.0,189.9,77.8,40.6,7.4,64.8,25.2,7.3,146.4,29.1,,,,,79.5,0.5,,,2017,JiLin Province,吉林省,Jilin
BCC03,PRJNA609577,BCC03,-,,,81.5,227.7,68.0,29.8,7.3,84.1,35.3,11.3,158.6,23.2,,,,,83.5,2.0,,,2017,JiLin Province,吉林省,Jilin
PHV07,PRJNA609577,PHV07,-,,,81.5,212.3,83.2,39.2,9.2,65.0,34.7,1.8,158.3,25.7,,,,,82.5,1.0,,,2017,JiLin Province,吉林省,Jilin
PHP76,PRJNA609577,PHP76,-,,,79.0,187.6,71.2,37.9,7.4,73.5,39.2,7.3,153.3,24.2,,,,,82.5,3.5,,,2017,JiLin Province,吉林省,Jilin
PHJ65,PRJNA609577,PHJ65,-,,,92.0,253.4,97.2,38.3,9.3,91.6,34.5,18.6,158.6,22.7,,,,,92.0,0.0,,,2017,JiLin Province,吉林省,Jilin
LH191,PRJNA609577,LH191,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
Zaodahuang,PRJNA609577,Zaodahuang,-,,,75.5,186.8,82.1,43.8,7.6,66.0,22.3,5.3,145.4,39.8,,,,,77.0,1.5,,,2017,JiLin Province,吉林省,Jilin
832,PRJNA609577,832,-,,,85.5,226.9,92.6,40.8,8.2,69.3,26.6,6.9,170.1,14.7,,,,,86.0,0.5,,,2017,JiLin Province,吉林省,Jilin
803,PRJNA609577,803,-,,,84.0,158.0,71.5,45.3,8.4,70.8,26.2,11.1,176.2,12.2,,,,,84.5,0.5,,,2017,JiLin Province,吉林省,Jilin
434,PRJNA609577,434,-,,,74.0,165.6,51.8,31.2,9.9,71.3,32.9,10.4,152.6,28.7,,,,,78.0,4.0,,,2017,JiLin Province,吉林省,Jilin
4112,PRJNA609577,4112,-,,,79.0,203.8,76.6,37.6,9.7,64.5,27.7,5.8,172.2,16.9,,,,,80.5,1.5,,,2017,JiLin Province,吉林省,Jilin
4F1,PRJNA609577,4F1,-,,,79.5,217.9,77.9,35.8,8.9,68.2,36.6,12.7,144.1,40.9,,,,,82.0,2.5,,,2017,JiLin Province,吉林省,Jilin
812,PRJNA609577,812,-,,,85.0,210.8,82.1,38.9,9.8,78.2,29.7,10.4,174.3,15.1,,,,,85.5,0.5,,,2017,JiLin Province,吉林省,Jilin
446,PRJNA609577,446,-,,,76.0,210.3,70.7,33.6,10.7,76.4,35.3,16.7,156.7,24.2,,,,,82.0,6.0,,,2017,JiLin Province,吉林省,Jilin
Yan414,PRJNA609577,Yan414,-,,,83.0,197.5,84.8,42.9,11.4,70.9,30.1,5.4,163.4,18.0,,,,,85.5,2.5,,,2017,JiLin Province,吉林省,Jilin
CI66,PRJNA609577,CI66,-,,,93.5,181.3,69.5,38.2,8.7,62.3,29.0,12.1,161.9,25.6,,,,,95.5,2.0,,,2017,JiLin Province,吉林省,Jilin
Dahuang46,PRJNA609577,Dahuang46,-,,,79.5,221.3,111.0,50.2,8.5,53.7,38.2,13.0,111.7,76.2,,,,,82.5,3.0,,,2017,JiLin Province,吉林省,Jilin
Oh7,PRJNA609577,Oh7,-,,,87.5,250.6,86.4,34.5,7.5,74.4,38.7,11.7,167.5,17.3,,,,,90.0,2.0,,,2017,JiLin Province,吉林省,Jilin
KY228,PRJNA609577,KY228,-,,,86.5,231.1,76.6,33.1,9.2,76.9,29.5,21.3,161.5,26.0,,,,,89.5,3.0,,,2017,JiLin Province,吉林省,Jilin
CM105,PRJNA609577,CM105,-,,,74.0,172.3,60.6,35.2,8.5,69.0,26.0,3.9,,,,,,,75.5,1.5,,,2017,JiLin Province,吉林省,Jilin
B57,PRJNA609577,B57,-,,,83.0,192.8,76.2,39.5,8.0,73.3,29.8,21.1,140.9,41.5,,,,,84.0,1.0,,,2017,JiLin Province,吉林省,Jilin
B69,PRJNA609577,B69,-,,,84.5,238.9,98.8,41.4,9.0,69.7,30.5,9.9,143.2,41.0,,,,,87.0,2.5,,,2017,JiLin Province,吉林省,Jilin
Mo18W,PRJNA609577,Mo18W,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
B64,PRJNA609577,B64,-,,,87.0,226.5,97.3,42.9,7.9,85.3,39.2,9.5,159.7,25.2,,,,,88.0,1.0,,,2017,JiLin Province,吉林省,Jilin
B96,PRJNA609577,B96,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
I_205,PRJNA609577,I_205,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
Liao2202,PRJNA609577,Liao2202,-,,,93.0,208.8,91.2,43.6,11.1,62.4,34.1,19.2,166.0,20.0,,,,,95.0,2.0,,,2017,JiLin Province,吉林省,Jilin
B10,PRJNA609577,B10,-,,,,,,,,,,,143.9,24.6,,,,,,,,,2017,JiLin Province,吉林省,Jilin
B8,PRJNA609577,B8,-,,,76.5,195.0,95.0,48.7,7.8,61.4,28.4,14.4,138.8,43.7,,,,,79.0,2.5,,,2017,JiLin Province,吉林省,Jilin
A171,PRJNA609577,A171,-,,,75.0,226.0,83.0,36.7,11.0,78.0,27.0,9.0,,,,,,,76.5,1.5,,,2017,JiLin Province,吉林省,Jilin
Lv10,PRJNA609577,Lv10,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
PHJ40,PRJNA609577,PHJ40,-,,,67.0,166.3,69.0,41.5,8.7,62.7,33.8,4.9,136.4,44.0,,,,,69.0,2.0,,,2017,JiLin Province,吉林省,Jilin
A71,PRJNA609577,A71,-,,,77.0,209.4,80.0,38.2,9.1,75.8,42.2,13.0,107.4,71.1,,,,,78.0,1.0,,,2017,JiLin Province,吉林省,Jilin
C14,PRJNA609577,C14,-,,,77.0,162.2,61.3,37.7,7.5,69.6,29.8,9.2,113.5,62.8,,,,,78.0,1.0,,,2017,JiLin Province,吉林省,Jilin
C46,PRJNA609577,C46,-,,,78.0,164.0,69.0,42.1,,,29.9,17.7,,,,,,,79.0,1.0,,,2017,JiLin Province,吉林省,Jilin
Baihe43,PRJNA609577,Baihe43,-,,,85.0,206.3,61.7,29.9,9.9,75.2,38.3,9.7,163.6,20.7,,,,,85.0,0.0,,,2017,JiLin Province,吉林省,Jilin
R177,PRJNA609577,R177,-,,,79.0,193.5,48.3,24.8,9.5,71.2,34.3,9.8,143.1,36.0,,,,,82.5,3.5,,,2017,JiLin Province,吉林省,Jilin
R2,PRJNA609577,R2,-,,,81.5,206.0,83.0,40.3,8.9,75.3,37.3,11.9,156.9,28.3,,,,,82.5,1.0,,,2017,JiLin Province,吉林省,Jilin
W9,PRJNA609577,W9,-,,,72.0,150.0,52.0,34.7,8.6,62.5,26.4,10.3,,,,,,,74.5,2.5,,,2017,JiLin Province,吉林省,Jilin
W22,PRJNA609577,W22,-,,,78.5,203.4,74.8,36.8,10.3,71.5,33.4,12.0,144.7,30.0,,,,,80.5,2.0,,,2017,JiLin Province,吉林省,Jilin
PHR30,PRJNA609577,PHR30,-,,,79.0,215.6,89.6,41.6,9.5,61.1,34.0,4.8,155.5,26.0,,,,,79.0,0.0,,,2017,JiLin Province,吉林省,Jilin
Ji63,PRJNA609577,Ji63,-,,,76.5,188.2,86.8,45.9,9.8,66.9,34.4,13.2,151.2,27.5,,,,,77.5,1.0,,,2017,JiLin Province,吉林省,Jilin
Dong237,PRJNA609577,Dong237,-,,,76.0,172.2,46.1,26.8,8.7,72.3,25.2,6.3,154.1,29.7,,,,,78.0,2.0,,,2017,JiLin Province,吉林省,Jilin
Chang3,PRJNA609577,Chang3,-,,,82.5,201.3,73.5,36.5,9.2,67.3,33.3,10.9,158.5,24.5,,,,,85.0,2.5,,,2017,JiLin Province,吉林省,Jilin
Lv9kuan,PRJNA609577,Lv9kuan,-,,,88.5,213.4,88.7,41.5,9.2,70.1,28.7,27.9,163.0,24.6,,,,,90.5,2.0,,,2017,JiLin Province,吉林省,Jilin
PHBA6,PRJNA609577,PHBA6,-,,,75.0,261.3,99.4,38.1,7.2,79.1,39.6,14.8,154.2,27.2,,,,,77.0,2.0,,,2017,JiLin Province,吉林省,Jilin
48_2,PRJNA609577,48_2,-,,,92.0,199.4,94.2,47.2,8.3,92.6,34.3,16.8,167.5,18.8,,,,,93.5,1.5,,,2017,JiLin Province,吉林省,Jilin
Luyuan92,PRJNA609577,Luyuan92,-,,,81.0,209.0,82.7,39.6,9.8,63.4,31.9,8.8,143.1,36.2,,,,,82.5,1.5,,,2017,JiLin Province,吉林省,Jilin
LH215,PRJNA609577,LH215,-,,,86.5,243.1,86.7,35.6,8.7,66.1,32.6,5.0,150.6,31.1,,,,,87.5,1.0,,,2017,JiLin Province,吉林省,Jilin
LH162,PRJNA609577,LH162,-,,,73.0,173.2,71.1,41.1,8.1,70.8,34.5,13.8,,,,,,,74.5,1.5,,,2017,JiLin Province,吉林省,Jilin
LH196,PRJNA609577,LH196,-,,,79.0,220.0,62.6,28.5,7.7,75.0,34.2,6.3,158.2,17.9,,,,,78.5,-0.5,,,2017,JiLin Province,吉林省,Jilin
2MA22,PRJNA609577,2MA22,-,,,75.0,214.7,59.4,27.7,8.7,84.1,38.1,5.7,160.8,20.2,,,,,78.0,3.0,,,2017,JiLin Province,吉林省,Jilin
H99,PRJNA609577,H99,-,,,77.0,116.5,23.8,20.5,7.2,56.3,23.8,5.5,160.4,26.2,,,,,78.5,1.5,,,2017,JiLin Province,吉林省,Jilin
WIL_25,PRJNA609577,WIL_25,-,,,84.5,230.8,69.7,30.1,8.8,76.8,38.8,2.1,163.6,23.2,,,,,85.0,0.5,,,2017,JiLin Province,吉林省,Jilin
LH205,PRJNA609577,LH205,-,,,79.5,209.9,70.7,33.7,7.0,67.8,27.9,6.6,156.0,25.4,,,,,83.5,4.0,,,2017,JiLin Province,吉林省,Jilin
DH40,PRJNA609577,DH40,-,,,91.0,270.8,115.6,42.7,9.9,77.2,35.9,9.8,166.3,10.8,,,,,92.0,1.0,,,2017,JiLin Province,吉林省,Jilin
PH207,PRJNA609577,PH207,-,,,74.0,191.0,75.1,39.5,7.1,70.0,35.9,17.5,138.2,40.6,,,,,77.5,3.5,,,2017,JiLin Province,吉林省,Jilin
Y223,PRJNA609577,Y223,-,,,83.0,204.3,86.9,42.5,11.0,60.7,26.1,4.2,157.0,25.5,,,,,83.5,0.5,,,2017,JiLin Province,吉林省,Jilin
Fu8501,PRJNA609577,Fu8501,-,,,83.5,209.3,98.3,47.0,12.0,69.3,31.0,10.8,165.7,17.3,,,,,85.5,2.0,,,2017,JiLin Province,吉林省,Jilin
PHGG7,PRJNA609577,PHGG7,-,,,70.0,210.2,77.2,36.7,,,36.0,13.0,131.8,49.7,,,,,71.5,1.5,,,2017,JiLin Province,吉林省,Jilin
MQ305,PRJNA609577,MQ305,-,,,75.5,171.1,55.3,32.2,7.7,64.9,29.4,10.4,149.2,35.7,,,,,77.0,1.5,,,2017,JiLin Province,吉林省,Jilin
18_599,PRJNA609577,18_599,-,,,95.0,236.5,126.0,53.3,8.3,85.8,30.3,15.6,162.5,27.3,,,,,,,,,2017,JiLin Province,吉林省,Jilin
Lv28,PRJNA609577,Lv28,-,,,81.0,195.0,79.5,40.8,7.3,63.6,21.4,13.0,162.2,21.8,,,,,84.0,3.0,,,2017,JiLin Province,吉林省,Jilin
LH193,PRJNA609577,LH193,-,,,82.0,192.7,56.9,29.5,7.6,68.6,31.4,5.9,154.9,25.1,,,,,83.0,1.0,,,2017,JiLin Province,吉林省,Jilin
87_1,PRJNA609577,87_1,-,,,90.0,204.0,74.3,36.4,11.6,81.8,31.5,14.2,167.2,18.5,,,,,92.5,2.5,,,2017,JiLin Province,吉林省,Jilin
WIL_21,PRJNA609577,WIL_21,-,,,81.5,203.5,58.3,28.6,9.3,74.1,35.3,6.3,153.9,29.0,,,,,85.5,4.0,,,2017,JiLin Province,吉林省,Jilin
WIL_24,PRJNA609577,WIL_24,-,,,84.0,193.4,71.4,36.9,7.4,69.8,31.8,9.4,160.7,19.0,,,,,84.5,0.5,,,2017,JiLin Province,吉林省,Jilin
A554,PRJNA609577,A554,-,,,74.5,158.4,54.4,34.3,8.2,57.8,29.7,13.1,,,,,,,76.0,1.5,,,2017,JiLin Province,吉林省,Jilin
LH194,PRJNA609577,LH194,-,,,88.5,187.5,59.4,31.7,7.8,71.7,29.3,6.6,162.6,16.8,,,,,90.5,2.0,,,2017,JiLin Province,吉林省,Jilin
NQ508,PRJNA609577,NQ508,-,,,85.0,220.6,94.5,42.8,8.0,68.7,35.5,7.2,149.4,37.3,,,,,86.0,1.0,,,2017,JiLin Province,吉林省,Jilin
ICI_893,PRJNA609577,ICI_893,-,,,79.0,195.4,62.8,32.2,8.5,66.3,29.7,7.1,149.8,23.3,,,,,79.5,0.5,,,2017,JiLin Province,吉林省,Jilin
ICI_441,PRJNA609577,ICI_441,-,,,83.0,208.2,70.0,33.6,7.8,74.6,32.0,7.0,163.4,20.3,,,,,85.5,2.5,,,2017,JiLin Province,吉林省,Jilin
ICI_193,PRJNA609577,ICI_193,-,,,78.5,218.2,105.5,48.3,7.7,67.7,30.8,11.7,149.4,40.6,,,,,78.5,0.0,,,2017,JiLin Province,吉林省,Jilin
LH222,PRJNA609577,LH222,-,,,78.0,175.2,59.2,33.8,7.2,59.1,23.2,5.4,113.4,58.8,,,,,77.5,-0.5,,,2017,JiLin Province,吉林省,Jilin
83IBI3,PRJNA609577,83IBI3,-,,,74.0,174.3,60.2,34.5,7.3,68.1,36.5,9.6,154.0,25.9,,,,,75.5,1.5,,,2017,JiLin Province,吉林省,Jilin
LIBC_4,PRJNA609577,LIBC_4,-,,,77.0,185.6,79.5,42.8,9.2,65.1,32.1,4.4,134.5,50.9,,,,,77.5,0.5,,,2017,JiLin Province,吉林省,Jilin
F118,PRJNA609577,F118,-,,,88.0,220.9,79.4,36.0,8.7,84.0,33.2,13.3,159.9,22.8,,,,,90.0,2.0,,,2017,JiLin Province,吉林省,Jilin
LH209,PRJNA609577,LH209,-,,,81.0,217.3,79.9,36.7,7.5,72.7,28.9,7.1,160.4,16.0,,,,,81.5,0.5,,,2017,JiLin Province,吉林省,Jilin
MBUB,PRJNA609577,MBUB,-,,,83.0,205.7,60.0,29.2,9.9,64.9,26.5,1.3,155.6,27.7,,,,,85.5,2.5,,,2017,JiLin Province,吉林省,Jilin
Hua160,PRJNA609577,Hua160,-,,,78.0,172.7,83.9,48.5,10.7,55.4,26.9,12.5,162.0,21.9,,,,,79.0,1.0,,,2017,JiLin Province,吉林省,Jilin
LH206,PRJNA609577,LH206,-,,,79.0,190.8,71.3,37.4,8.9,77.8,31.7,5.6,158.2,26.4,,,,,81.0,2.0,,,2017,JiLin Province,吉林省,Jilin
LH127,PRJNA609577,LH127,-,,,79.0,205.5,83.2,40.5,9.4,70.0,41.1,5.9,147.4,36.2,,,,,79.5,0.5,,,2017,JiLin Province,吉林省,Jilin
2FACC,PRJNA609577,2FACC,-,,,78.0,184.6,73.3,39.6,9.1,67.7,26.9,10.5,163.0,25.1,,,,,79.0,1.0,,,2017,JiLin Province,吉林省,Jilin
PHP55,PRJNA609577,PHP55,-,,,78.5,218.9,83.1,38.0,9.7,72.8,33.3,18.3,150.9,29.8,,,,,79.0,0.5,,,2017,JiLin Province,吉林省,Jilin
WIL_8,PRJNA609577,WIL_8,-,,,84.5,227.6,82.1,35.8,9.9,76.9,32.2,6.4,162.0,21.6,,,,,85.0,0.5,,,2017,JiLin Province,吉林省,Jilin
WIL_11,PRJNA609577,WIL_11,-,,,78.0,192.6,80.8,41.9,9.1,71.8,30.8,7.9,174.3,11.2,,,,,83.0,5.0,,,2017,JiLin Province,吉林省,Jilin
8723,PRJNA609577,8723,-,,,84.0,202.2,69.4,34.2,9.3,75.6,35.1,9.0,171.9,16.1,,,,,85.0,1.0,,,2017,JiLin Province,吉林省,Jilin
WIL_14,PRJNA609577,WIL_14,-,,,81.0,176.3,68.0,37.2,9.7,72.7,26.3,10.1,167.7,14.0,,,,,82.0,1.0,,,2017,JiLin Province,吉林省,Jilin
WIL_3,PRJNA609577,WIL_3,-,,,85.0,224.0,79.6,35.6,9.4,73.0,31.9,5.2,158.9,25.4,,,,,86.0,1.0,,,2017,JiLin Province,吉林省,Jilin
F42,PRJNA609577,F42,-,,,77.5,189.2,63.3,33.6,7.4,66.4,29.5,5.1,155.3,23.3,,,,,80.0,2.5,,,2017,JiLin Province,吉林省,Jilin
PHG35,PRJNA609577,PHG35,-,,,79.5,239.4,90.5,37.9,8.4,81.1,38.2,6.2,156.7,25.0,,,,,80.0,0.5,,,2017,JiLin Province,吉林省,Jilin
MO24W,PRJNA609577,MO24W,-,,,94.0,298.2,123.0,41.2,,,40.5,19.4,168.8,24.7,,,,,,,,,2017,JiLin Province,吉林省,Jilin
ML606,PRJNA609577,ML606,-,,,78.0,192.5,62.9,32.7,9.7,76.5,29.7,6.3,155.8,35.6,,,,,78.5,0.5,,,2017,JiLin Province,吉林省,Jilin
29MIBZ2,PRJNA609577,29MIBZ2,-,,,74.0,169.0,53.3,31.2,9.0,72.4,31.8,13.3,141.0,41.9,,,,,76.5,2.5,,,2017,JiLin Province,吉林省,Jilin
C103,PRJNA609577,C103,-,,,84.5,201.7,85.7,42.5,11.5,70.6,33.9,19.2,148.0,32.6,,,,,86.0,1.5,,,2017,JiLin Province,吉林省,Jilin
PHN66,PRJNA609577,PHN66,-,,,81.5,212.2,84.0,39.5,7.9,63.9,32.5,5.7,151.8,32.8,,,,,81.5,0.0,,,2017,JiLin Province,吉林省,Jilin
PHJ90,PRJNA609577,PHJ90,-,,,73.5,171.8,82.7,48.1,7.1,64.0,35.1,7.5,145.4,36.6,,,,,76.5,3.0,,,2017,JiLin Province,吉林省,Jilin
PHJ89,PRJNA609577,PHJ89,-,,,78.0,206.0,73.9,35.9,8.4,63.3,32.3,4.7,155.2,25.6,,,,,79.0,1.0,,,2017,JiLin Province,吉林省,Jilin
Lp215D,PRJNA609577,Lp215D,-,,,75.0,185.3,61.4,33.2,8.8,67.6,40.8,4.8,150.1,32.1,,,,,79.0,4.0,,,2017,JiLin Province,吉林省,Jilin
Aiji205,PRJNA609577,Aiji205,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
HuangC,PRJNA609577,HuangC,-,,,84.0,246.5,88.3,35.7,9.1,68.3,30.8,4.6,162.0,22.1,,,,,86.0,2.0,,,2017,JiLin Province,吉林省,Jilin
618,PRJNA609577,618,-,,,88.5,216.0,98.8,45.7,10.7,81.3,30.7,10.1,144.9,41.1,,,,,91.5,3.0,,,2017,JiLin Province,吉林省,Jilin
Ernan24,PRJNA609577,Ernan24,-,,,85.0,243.7,111.0,45.5,9.3,79.8,30.0,14.5,155.5,34.7,,,,,86.5,1.5,,,2017,JiLin Province,吉林省,Jilin
H21,PRJNA609577,H21,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
5237,PRJNA609577,5237,-,,,82.5,188.3,84.0,44.6,9.6,64.9,29.7,7.4,163.4,20.3,,,,,84.0,1.5,,,2017,JiLin Province,吉林省,Jilin
485,PRJNA609577,485,-,,,76.0,163.5,64.8,39.6,7.7,68.0,37.1,4.3,150.5,28.2,,,,,78.0,2.0,,,2017,JiLin Province,吉林省,Jilin
9010,PRJNA609577,9010,-,,,87.0,166.7,73.8,44.2,10.3,77.6,27.3,14.7,174.5,9.5,,,,,89.5,2.5,,,2017,JiLin Province,吉林省,Jilin
DAN360,PRJNA609577,DAN360,-,,,85.0,197.7,83.7,42.3,9.5,72.7,26.5,11.8,169.0,16.8,,,,,89.0,4.0,,,2017,JiLin Province,吉林省,Jilin
Liao9586,PRJNA609577,Liao9586,-,,,,191.6,82.9,43.4,10.8,80.4,26.5,8.0,171.2,15.0,,,,,,,,,2017,JiLin Province,吉林省,Jilin
SI273,PRJNA609577,SI273,-,,,84.0,179.0,64.9,36.2,8.9,69.9,32.3,9.0,174.2,10.3,,,,,85.5,1.5,,,2017,JiLin Province,吉林省,Jilin
Ying64,PRJNA609577,Ying64,-,,,79.5,199.6,74.1,37.1,10.4,73.8,35.0,10.9,124.8,61.7,,,,,80.0,0.5,,,2017,JiLin Province,吉林省,Jilin
Dian11,PRJNA609577,Dian11,-,,,75.0,173.5,53.1,30.8,10.0,70.7,35.0,5.9,137.2,43.1,,,,,76.0,1.0,,,2017,JiLin Province,吉林省,Jilin
81565,PRJNA609577,81565,-,,,95.0,260.2,132.3,50.9,7.5,81.1,32.5,14.2,160.9,19.4,,,,,97.0,2.0,,,2017,JiLin Province,吉林省,Jilin
Ye8001,PRJNA609577,Ye8001,-,,,86.5,,,,,,19.0,14.0,173.0,11.3,,,,,88.0,1.5,,,2017,JiLin Province,吉林省,Jilin
C8605_2,PRJNA609577,C8605_2,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
8902,PRJNA609577,8902,-,,,80.5,201.2,63.1,31.4,8.9,63.1,28.3,5.8,172.0,15.3,,,,,83.0,2.5,,,2017,JiLin Province,吉林省,Jilin
Ken44,PRJNA609577,Ken44,-,,,73.5,142.5,43.8,30.6,7.6,55.0,34.3,11.5,,,,,,,74.5,1.0,,,2017,JiLin Province,吉林省,Jilin
Huang428,PRJNA609577,Huang428,-,,,83.0,198.3,71.9,36.2,9.6,73.0,33.3,24.0,157.4,23.2,,,,,85.5,2.5,,,2017,JiLin Province,吉林省,Jilin
H152,PRJNA609577,H152,-,,,80.0,195.9,71.7,36.6,9.0,73.8,34.8,8.3,156.9,29.9,,,,,84.0,4.0,,,2017,JiLin Province,吉林省,Jilin
Danhuang02,PRJNA609577,Danhuang02,-,,,93.0,233.1,117.0,50.2,9.7,81.9,32.3,24.4,153.8,31.4,,,,,95.5,2.5,,,2017,JiLin Province,吉林省,Jilin
ZaC546,PRJNA609577,ZaC546,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
HZ85,PRJNA609577,HZ85,-,,,82.0,247.0,93.2,37.7,8.3,75.3,33.2,6.1,163.0,21.4,,,,,83.5,1.5,,,2017,JiLin Province,吉林省,Jilin
Dan599,PRJNA609577,Dan599,-,,,86.5,217.9,109.8,50.4,9.8,68.3,28.3,9.8,153.0,32.7,,,,,87.0,0.5,,,2017,JiLin Province,吉林省,Jilin
7327,PRJNA609577,7327,-,,,89.5,243.6,126.0,51.7,9.8,83.3,33.1,27.5,155.1,20.8,,,,,92.0,2.5,,,2017,JiLin Province,吉林省,Jilin
Suwan1611,PRJNA609577,Suwan1611,-,,,84.5,221.9,82.4,37.1,8.5,78.2,33.5,8.1,161.9,17.9,,,,,87.0,2.5,,,2017,JiLin Province,吉林省,Jilin
Ye52106,PRJNA609577,Ye52106,-,,,88.0,233.9,114.7,49.0,10.9,68.1,39.8,13.0,171.3,8.9,,,,,91.5,3.5,,,2017,JiLin Province,吉林省,Jilin
H49,PRJNA609577,H49,-,,,85.0,214.5,104.3,48.7,10.3,71.8,24.7,12.1,118.7,68.0,,,,,85.5,0.5,,,2017,JiLin Province,吉林省,Jilin
WIL_23,PRJNA609577,WIL_23,-,,,83.5,177.3,73.7,41.5,10.5,70.5,31.2,9.9,169.0,15.6,,,,,84.0,0.5,,,2017,JiLin Province,吉林省,Jilin
A801,PRJNA609577,A801,-,,,94.0,243.5,94.8,38.9,8.5,73.8,37.8,13.6,166.2,19.3,,,,,96.0,2.0,,,2017,JiLin Province,吉林省,Jilin
WIL_15,PRJNA609577,WIL_15,-,,,79.5,202.4,81.4,40.1,9.6,63.6,26.9,6.5,169.0,13.3,,,,,80.0,0.5,,,2017,JiLin Province,吉林省,Jilin
ZK4M,PRJNA609577,ZK4M,-,,,88.0,223.6,91.9,41.1,9.1,85.2,28.5,14.0,164.8,21.4,,,,,91.5,3.5,,,2017,JiLin Province,吉林省,Jilin
WIL_19,PRJNA609577,WIL_19,-,,,83.5,261.1,98.0,37.3,10.7,70.8,32.5,4.0,164.0,18.1,,,,,85.0,1.5,,,2017,JiLin Province,吉林省,Jilin
WIL_20,PRJNA609577,WIL_20,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
LY16M,PRJNA609577,LY16M,-,,,83.0,218.3,89.5,41.0,9.3,72.0,28.6,8.0,159.9,25.1,,,,,84.5,1.5,,,2017,JiLin Province,吉林省,Jilin
WIL_17,PRJNA609577,WIL_17,-,,,84.0,169.2,60.7,35.8,8.5,76.0,28.9,6.9,173.7,11.5,,,,,85.5,1.5,,,2017,JiLin Province,吉林省,Jilin
Baihunhuang,PRJNA609577,Baihunhuang,-,,,79.0,181.3,79.0,43.6,8.3,69.0,28.6,11.6,150.0,27.0,,,,,79.0,0.0,,,2017,JiLin Province,吉林省,Jilin
WIL_18,PRJNA609577,WIL_18,-,,,85.0,224.3,89.8,40.0,9.2,69.9,30.8,12.0,161.5,24.9,,,,,87.0,2.0,,,2017,JiLin Province,吉林省,Jilin
Jian1495b,PRJNA609577,Jian1495b,-,,,86.0,231.0,94.6,41.0,9.2,81.3,29.7,7.1,175.2,12.3,,,,,88.0,2.0,,,2017,JiLin Province,吉林省,Jilin
huangzaosi,PRJNA609577,huangzaosi,-,,,81.0,190.1,79.4,41.8,8.6,68.4,26.8,17.4,163.8,19.5,,,,,82.0,1.0,,,2017,JiLin Province,吉林省,Jilin
Xu052,PRJNA609577,Xu052,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
Xun92_8,PRJNA609577,Xun92_8,-,,,84.0,212.8,98.7,46.4,9.0,75.5,25.0,27.0,165.9,14.6,,,,,85.5,1.5,,,2017,JiLin Province,吉林省,Jilin
Q1261,PRJNA609577,Q1261,-,,,86.5,239.7,104.1,43.4,9.0,81.3,33.9,7.9,168.7,17.6,,,,,87.0,0.5,,,2017,JiLin Province,吉林省,Jilin
Denghai4866,PRJNA609577,Denghai4866,-,,,84.5,211.9,76.7,36.2,6.7,83.4,32.6,11.8,176.4,11.4,,,,,91.0,6.5,,,2017,JiLin Province,吉林省,Jilin
32,PRJNA609577,32,-,,,86.5,209.1,80.5,38.6,7.2,67.8,28.7,4.2,157.1,21.7,,,,,87.5,1.0,,,2017,JiLin Province,吉林省,Jilin
Ye107,PRJNA609577,Ye107,-,,,83.5,170.1,53.6,31.5,9.2,53.8,28.4,4.6,169.9,17.7,,,,,86.0,2.5,,,2017,JiLin Province,吉林省,Jilin
