Sample_ID,Bioproject,Name,Name_cn,Upper leaf number,Total leaf number,Days to anthesis,Plant height,Ear height,Relative ear height,Leaf width,Leaf length,Tassel length,Tassel branch number,Lower leaf angle,Upper leaf angle,Stem diameter,Cobcolor,Kernelcolor,ERN,Days to silking,Anthesis to silking interval,Unnamed: 22,Treatment,Years,location,Region_cn,Region
ZK4M,PRJNA609577,ZK4M,-,,,69.0,220.0,89.0,40.5,9.7,88.0,29.1,14.8,161.8,20.9,23.38,1.0,2.0,14.3,,,,,2016,HeBei Province,河北省,Hebei
WIL_19,PRJNA609577,WIL_19,-,,,70.0,243.8,80.0,32.8,10.1,77.6,35.2,5.2,163.7,18.9,19.96,2.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
WIL_20,PRJNA609577,WIL_20,-,,,73.0,152.7,60.5,39.6,9.9,66.1,32.5,5.8,166.5,18.8,21.6,1.0,2.0,13.0,,,,,2016,HeBei Province,河北省,Hebei
LY16M,PRJNA609577,LY16M,-,,,66.0,204.3,81.5,39.9,9.3,71.3,30.0,7.8,153.6,27.9,17.53,1.0,2.0,16.5,,,,,2016,HeBei Province,河北省,Hebei
WIL_17,PRJNA609577,WIL_17,-,,,70.0,155.3,54.5,35.1,9.6,83.7,31.6,9.0,170.6,14.8,17.57,1.0,2.0,11.5,,,,,2016,HeBei Province,河北省,Hebei
Baihunhuang,PRJNA609577,Baihunhuang,-,,,62.0,191.3,71.8,37.5,8.2,73.0,32.0,15.3,145.7,32.5,19.38,1.0,1.0,12.5,,,,,2016,HeBei Province,河北省,Hebei
WIL_18,PRJNA609577,WIL_18,-,,,75.0,229.0,80.7,35.2,10.6,72.5,30.1,8.8,161.7,25.5,21.68,1.0,2.0,15.5,,,,,2016,HeBei Province,河北省,Hebei
Jian1495b,PRJNA609577,Jian1495b,-,,,78.0,220.5,92.5,42.0,10.2,88.8,30.4,7.0,169.3,11.5,21.47,1.0,2.0,14.4,,,,,2016,HeBei Province,河北省,Hebei
huangzaosi,PRJNA609577,huangzaosi,-,,,63.0,200.3,83.5,41.7,8.6,73.3,29.9,21.4,154.8,29.2,18.45,1.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
Xu052,PRJNA609577,Xu052,-,,,75.0,231.0,108.5,47.0,10.1,81.0,28.1,20.0,163.0,16.5,21.02,1.0,1.0,,,,,,2016,HeBei Province,河北省,Hebei
Xun92_8,PRJNA609577,Xun92_8,-,,,69.0,232.8,121.4,52.1,10.2,71.3,26.5,27.0,161.0,19.2,19.84,1.0,2.0,16.9,,,,,2016,HeBei Province,河北省,Hebei
