Sample_ID,Bioproject,Name,Name_cn,Upper leaf number,Total leaf number,Days to anthesis,Plant height,Ear height,Relative ear height,Leaf width,Leaf length,Tassel length,Tassel branch number,Lower leaf angle,Upper leaf angle,Stem diameter,Cobcolor,Kernelcolor,ERN,Days to silking,Anthesis to silking interval,,Treatment,Years,location,Region_cn
Wu109,PRJNA609577,Wu109,-,5,,65.5,208.3,108.9,52.4,9.5,74,34.6,16.3,149.6,31.8,,,,,65.5,0,,,2017,HeBei Province,河北省
RS_710,PRJNA609577,RS_710,-,5.9,,52.5,152.6,45.3,29.7,8.2,58.4,20.3,7.3,148.8,32.8,,,,,53.5,1,,,2017,HeBei Province,河北省
CS405,PRJNA609577,CS405,-,6.5,,55.5,214.5,83.8,39.1,8.3,68,26.4,8.5,150.8,34.7,,,,,56.5,1,,,2017,HeBei Province,河北省
K14,PRJNA609577,K14,-,,,,,,,,,,,,,,,,,,,,,2017,HeBei Province,河北省
LH214,PRJNA609577,LH214,-,5,,65.5,230.2,85.3,37.1,9.4,78.9,32.6,3.6,153.8,24.6,,,,,66.5,1,,,2017,HeBei Province,河北省
Weifeng322,PRJNA609577,Weifeng322,-,4.2,,64,176.8,94.4,53.4,7.2,57.4,30.8,8.3,117.3,58.1,,,,,65,1,,,2017,HeBei Province,河北省
PHM81,PRJNA609577,PHM81,-,5,,53,159,58.6,36.9,8.9,62.3,20.3,11,149.6,29.7,,,,,52,-1,,,2017,HeBei Province,河北省
LH163,PRJNA609577,LH163,-,5.9,,61.5,209.1,75.5,36.1,7.7,70.1,34.4,8.6,144.7,37.1,,,,,62,0.5,,,2017,HeBei Province,河北省
PHW43,PRJNA609577,PHW43,-,5.8,,61.5,213.8,65.5,30.6,10.1,75.4,37.1,7.4,158.3,28.7,,,,,62.5,1,,,2017,HeBei Province,河北省
M14,PRJNA609577,M14,-,5.8,,63,186.3,70.8,38,8.6,67.5,33.3,13.8,138.5,48.8,,,,,62,-1,,,2017,HeBei Province,河北省
WIL_7,PRJNA609577,WIL_7,-,6,,61.5,202.3,68.6,33.9,7.8,73.7,29.4,7.4,170.9,12,,,,,62,0.5,,,2017,HeBei Province,河北省
Baiye4,PRJNA609577,Baiye4,-,5.3,,61.5,177.4,81.6,46.2,9.4,58,27.2,15.8,154.5,25.2,,,,,62,0.5,,,2017,HeBei Province,河北省
CT52C,PRJNA609577,CT52C,-,5.5,,70,220.6,79.7,36.1,10.9,67.6,42.1,16.3,165.4,19.8,,,,,68.5,-1.5,,,2017,HeBei Province,河北省
WIL_5,PRJNA609577,WIL_5,-,5.8,,50,198.6,40.9,20.6,7.4,54.3,29.5,5.2,129.2,50,,,,,54,4,,,2017,HeBei Province,河北省
PHR58,PRJNA609577,PHR58,-,5.4,,64.5,239.2,100,41.8,8.9,75,38,6.8,155.8,28.2,,,,,66.5,2,,,2017,HeBei Province,河北省
B14,PRJNA609577,B14,-,5.7,,58,217.4,100.8,46.4,8,79.8,29.8,11.5,122.5,55.9,,,,,62.5,4.5,,,2017,HeBei Province,河北省
Longkang1,PRJNA609577,Longkang1,-,6.3,,62.5,214.9,87.9,40.9,10.8,67.8,41,17.6,150.2,26.7,,,,,66,3.5,,,2017,HeBei Province,河北省
Diangu11A,PRJNA609577,Diangu11A,-,5.3,,54,214.8,89.6,41.8,8.2,74.9,41.6,11.7,111.4,66.8,,,,,56.5,2.5,,,2017,HeBei Province,河北省
Dong17,PRJNA609577,Dong17,-,6.1,,51.5,140.5,39.4,27.9,7.7,58.9,22.5,11.8,153.2,30.2,,,,,54,2.5,,,2017,HeBei Province,河北省
OH43,PRJNA609577,OH43,-,5.8,,66,240.6,96.3,40.1,10.2,75.7,36.9,9.1,147.2,35,,,,,69.5,3.5,,,2017,HeBei Province,河北省
Cheng18,PRJNA609577,Cheng18,-,6.3,,60,210.4,65.5,31.1,9.5,70.4,34.8,4.6,148.6,33.4,,,,,62.5,2.5,,,2017,HeBei Province,河北省
Ji533,PRJNA609577,Ji533,-,5,,65,223.3,97.4,43.6,8.2,79.6,34.7,7.2,161.3,18.4,,,,,65,0,,,2017,HeBei Province,河北省
Dan598,PRJNA609577,Dan598,-,6.3,,70.5,206.4,98.2,47.6,8.9,67.4,30.4,12.1,166.1,19.3,,,,,69.5,-1,,,2017,HeBei Province,河北省
DH65232,PRJNA609577,DH65232,-,,,,,,,,,,,,,,,,,,,,,2017,HeBei Province,河北省
LY16F,PRJNA609577,LY16F,-,,,,,,,,,,,,,,,,,,,,,2017,HeBei Province,河北省
Jian1495a,PRJNA609577,Jian1495a,-,6.9,,70.5,219.5,89.5,40.7,9.3,85.5,26.4,7.3,173.8,5.7,,,,,69.5,-1,,,2017,HeBei Province,河北省
178,PRJNA609577,178,-,4.7,,67,228.2,119.3,52.3,9.7,63.7,22.9,7.3,161.3,30.5,,,,,66,-1,,,2017,HeBei Province,河北省
WIL_16,PRJNA609577,WIL_16,-,6.3,,67.5,191.3,85.4,44.7,7.3,55.4,22.9,9.3,164.8,17.8,,,,,67.5,0,,,2017,HeBei Province,河北省
PHWG5,PRJNA609577,PHWG5,-,5.9,,64.5,237.5,93.9,39.6,9.5,81.2,33.3,4.3,163.8,20.8,,,,,66,1.5,,,2017,HeBei Province,河北省
912,PRJNA609577,912,-,4.3,,53.5,157,53.8,34.2,8.3,58.2,28.6,9.7,144.8,36.8,,,,,54,0.5,,,2017,HeBei Province,河北省
