Sample_ID,Bioproject,Name,Name_cn,Upper leaf number,Total leaf number,Days to anthesis,Plant height,Ear height,Relative ear height,Leaf width,Leaf length,Tassel length,Tassel branch number,Lower leaf angle,Upper leaf angle,Stem diameter,Cobcolor,Kernelcolor,ERN,Days to silking,Anthesis to silking interval,,Treatment,Years,location,Region_cn
Ying64,PRJNA609577,Ying64,-,5,15,50,176.8,57.2,32.4,9,63.1,34.6,7.9,131.4,51.8,,,,,,,,,2016,HaiNan Province,海南省
Dian11,PRJNA609577,Dian11,-,4.8,13.8,48,172,41,23.8,9.9,66.8,30.7,4.8,149.1,31.4,,,,,,,,,2016,HaiNan Province,海南省
81565,PRJNA609577,81565,-,5,18.7,59,211.2,86.6,41,7.9,75.2,26,7.4,151,30.9,,,,,,,,,2016,HaiNan Province,海南省
Ye8001,PRJNA609577,Ye8001,-,4.7,17.7,57,168,64.6,38.5,8.8,64.5,27.5,17.2,159.7,17.2,,,,,,,,,2016,HaiNan Province,海南省
C8605_2,PRJNA609577,C8605_2,-,5,16,55,178.6,51,28.6,9.7,65.2,28.7,5.3,153.5,34.4,,,,,,,,,2016,HaiNan Province,海南省
8902,PRJNA609577,8902,-,5.8,16.5,56,167.4,56.2,33.6,10.1,64,25.7,5.7,165.9,20,,,,,,,,,2016,HaiNan Province,海南省
Ken44,PRJNA609577,Ken44,-,5.4,14.4,48,136.2,37.6,27.6,7.8,54.6,27.8,7.5,133.3,46.5,,,,,,,,,2016,HaiNan Province,海南省
Huang428,PRJNA609577,Huang428,-,5,16,51,164.4,53,32.2,10,66.2,29.3,25.8,157.1,33.4,,,,,,,,,2016,HaiNan Province,海南省
H152,PRJNA609577,H152,-,5,16,54,180.4,67.8,37.6,9.3,73.7,33,7.7,154.7,27.6,,,,,,,,,2016,HaiNan Province,海南省
Danhuang02,PRJNA609577,Danhuang02,-,5.7,17.3,55,167.2,63,37.7,10.5,76.6,30.1,22.2,147.5,34,,,,,,,,,2016,HaiNan Province,海南省
ZaC546,PRJNA609577,ZaC546,-,5,16,50,169.6,53.8,31.7,8.7,57.6,31.5,12,142.8,36.4,,,,,,,,,2016,HaiNan Province,海南省
HZ85,PRJNA609577,HZ85,-,5.8,16,55,217.8,63.4,29.1,9.1,75.4,35,5.6,164.5,18.7,,,,,,,,,2016,HaiNan Province,海南省
Dan599,PRJNA609577,Dan599,-,5,18.3,57,151.2,62.4,41.3,10.3,60.6,29.2,7,144,39,,,,,,,,,2016,HaiNan Province,海南省
7327,PRJNA609577,7327,-,5,18,61,162.6,80.4,49.4,8.8,65.4,25.7,21.8,147.8,32.6,,,,,,,,,2016,HaiNan Province,海南省
Suwan1611,PRJNA609577,Suwan1611,-,4.3,14.7,52,142.6,45,31.6,8,69.8,30.6,6,153.4,26.2,,,,,,,,,2016,HaiNan Province,海南省
Ye52106,PRJNA609577,Ye52106,-,4.8,17.8,57,169.8,57.8,34,10.1,60.5,32.7,6.3,166.5,15.2,,,,,,,,,2016,HaiNan Province,海南省
H49,PRJNA609577,H49,-,6,18.8,53,183.4,75.6,41.2,9.5,75.8,25.4,10.8,134,50,,,,,,,,,2016,HaiNan Province,海南省
WIL_23,PRJNA609577,WIL_23,-,6,16.5,55,183.6,66,35.9,10,76,25.9,7,164.6,20.3,,,,,,,,,2016,HaiNan Province,海南省
A801,PRJNA609577,A801,-,5,16.3,60,184,58.2,31.6,9.4,73,34,7.3,164.4,18.1,,,,,,,,,2016,HaiNan Province,海南省
WIL_15,PRJNA609577,WIL_15,-,6,16,50,190.8,63.8,33.4,9.9,62.6,22.5,5,161.2,19.8,,,,,,,,,2016,HaiNan Province,海南省
ZK4M,PRJNA609577,ZK4M,-,5,16.5,55,186,65.4,35.2,9.8,77.2,25,8.7,152,27.9,,,,,,,,,2016,HaiNan Province,海南省
WIL_19,PRJNA609577,WIL_19,-,5.8,17.4,56,233.2,72.4,31,9.6,71.5,29.8,3.6,158.8,22.4,,,,,,,,,2016,HaiNan Province,海南省
WIL_20,PRJNA609577,WIL_20,-,5,16.3,59,233.2,72.4,31,10.3,69.8,35.9,5,159.7,20,,,,,,,,,2016,HaiNan Province,海南省
LY16M,PRJNA609577,LY16M,-,6,18,53,197.6,66.4,33.6,8.8,66.8,27.1,6.4,150.8,33.6,,,,,,,,,2016,HaiNan Province,海南省
WIL_17,PRJNA609577,WIL_17,-,5,15.5,54,144.2,40,27.7,8.4,67.8,25.2,5.6,160.3,21.5,,,,,,,,,2016,HaiNan Province,海南省
Baihunhuang,PRJNA609577,Baihunhuang,-,4.8,15,48,139,44.8,32.2,7.7,58.9,26.5,11.2,147.9,33.3,,,,,,,,,2016,HaiNan Province,海南省
WIL_18,PRJNA609577,WIL_18,-,5.8,17.8,55,194.6,73.4,37.7,10.6,62.1,28.8,5.8,156.1,30.6,,,,,,,,,2016,HaiNan Province,海南省
Jian1495b,PRJNA609577,Jian1495b,-,6,17,60,196.8,72,36.6,9.4,86,30.7,4.4,171.4,12.7,,,,,,,,,2016,HaiNan Province,海南省
huangzaosi,PRJNA609577,huangzaosi,-,4.5,16.5,50,157.2,57,36.3,8.8,65.6,27.4,16.4,159.5,26.7,,,,,,,,,2016,HaiNan Province,海南省
Xu052,PRJNA609577,Xu052,-,5,15,55,120,31,25.8,7.5,50,,1.5,152.7,26.5,,,,,,,,,2016,HaiNan Province,海南省
Xun92_8,PRJNA609577,Xun92_8,-,5,17.8,54,148.4,58.2,39.2,9.2,58.6,23.2,15.4,159.4,23.4,,,,,,,,,2016,HaiNan Province,海南省
Q1261,PRJNA609577,Q1261,-,5.3,16.8,55,186.3,71,38.1,10.2,74.3,32.9,10.2,161.3,20.8,,,,,,,,,2016,HaiNan Province,海南省
Denghai4866,PRJNA609577,Denghai4866,-,6,17,56,166.6,53,31.8,7.1,71.8,27.5,13,167.5,13.9,,,,,,,,,2016,HaiNan Province,海南省
32,PRJNA609577,32,-,5,18.5,60,175.2,64.4,36.8,7.6,64.5,25.8,3.8,154.8,26,,,,,,,,,2016,HaiNan Province,海南省
Ye107,PRJNA609577,Ye107,-,6.3,17,57,140,36.8,26.3,9.9,64,29.8,4.2,162.2,20.8,,,,,,,,,2016,HaiNan Province,海南省
ICI_740,PRJNA609577,ICI_740,-,6,17,55,198.4,60.2,30.3,7.1,79.4,30.8,5.8,162.1,26.6,,,,,,,,,2016,HaiNan Province,海南省
911,PRJNA609577,911,-,5.3,16.3,51,163,46.8,28.7,8.5,66.1,27.9,11.8,155,27.5,,,,,,,,,2016,HaiNan Province,海南省
PHW51,PRJNA609577,PHW51,-,6.4,18,60,174.2,60.8,34.9,9.8,68.6,30.2,4.8,153.8,33.1,,,,,,,,,2016,HaiNan Province,海南省
LH202,PRJNA609577,LH202,-,5,16,51,194.8,66.8,34.3,9.6,79.6,31.5,5.2,161.6,21.4,,,,,,,,,2016,HaiNan Province,海南省
B12,PRJNA609577,B12,-,4,16,54,187.2,76.6,40.9,7.7,71.2,31.3,9.8,154.3,26.4,,,,,,,,,2016,HaiNan Province,海南省
H105W,PRJNA609577,H105W,-,6,18.5,52,174.4,64.2,36.8,8.4,75,29.7,7.2,145.1,37.6,,,,,,,,,2016,HaiNan Province,海南省
WIL_28,PRJNA609577,WIL_28,-,4,14.5,53,209.8,54.6,26,10.6,64.4,29.8,4.2,148.7,40,,,,,,,,,2016,HaiNan Province,海南省
WIL_12,PRJNA609577,WIL_12,-,6,16,49,173.2,54.8,31.6,6.9,66.8,24.3,6.8,156.3,26.8,,,,,,,,,2016,HaiNan Province,海南省
WIL_4,PRJNA609577,WIL_4,-,5.3,16.3,53,170,53.6,31.5,8.1,63.6,22.1,4,158.9,19.7,,,,,,,,,2016,HaiNan Province,海南省
Ji53,PRJNA609577,Ji53,-,5,15.5,56,142.6,57,40,9.8,47.3,27.6,11.2,156.1,27.1,,,,,,,,,2016,HaiNan Province,海南省
Dan9046,PRJNA609577,Dan9046,-,5,17.5,58,104.4,34.8,33.3,8.9,55.4,27.5,7.5,164.3,16.6,,,,,,,,,2016,HaiNan Province,海南省
WIL_1,PRJNA609577,WIL_1,-,5.8,16.8,52,218.5,67.8,31,9.5,74.5,31.9,5,165.3,24.1,,,,,,,,,2016,HaiNan Province,海南省
A659,PRJNA609577,A659,-,5.2,14.8,51,177.4,43.2,24.4,8,75.2,30.7,10.3,157.5,26.5,,,,,,,,,2016,HaiNan Province,海南省
3H_2,PRJNA609577,3H_2,-,5,17.3,57,157.7,63,40,9.7,60.3,26.5,14.7,160.1,24.6,,,,,,,,,2016,HaiNan Province,海南省
FusheA,PRJNA609577,FusheA,-,4,19,56,132.7,83.2,,8.1,53.6,24.4,19.6,152.2,26.6,,,,,,,,,2016,HaiNan Province,海南省
Yu82,PRJNA609577,Yu82,-,5.3,16.5,55,171.5,51.2,29.8,7.5,76.6,29.2,8.3,173.2,11.1,,,,,,,,,2016,HaiNan Province,海南省
ZK11M,PRJNA609577,ZK11M,-,4,16,53,164.8,52.4,31.8,8.4,76,35,9,168.1,17.5,,,,,,,,,2016,HaiNan Province,海南省
LH213,PRJNA609577,LH213,-,6,16,56,190,51,26.8,9.3,70.4,30.3,5,147.5,33.3,,,,,,,,,2016,HaiNan Province,海南省
ZS01250,PRJNA609577,ZS01250,-,4,15,48,115.8,39.4,34,6.8,46.5,22.1,3.6,136.4,42.5,,,,,,,,,2016,HaiNan Province,海南省
904,PRJNA609577,904,-,5,14.3,49,140.6,35.4,25.2,7.1,60.4,23.9,6.2,142.9,36.1,,,,,,,,,2016,HaiNan Province,海南省
CS608,PRJNA609577,CS608,-,5,15,51,152.6,38.8,25.4,7.6,64.1,22.2,4.4,152.9,26.2,,,,,,,,,2016,HaiNan Province,海南省
515,PRJNA609577,515,-,5,16,53,182.2,70.2,38.5,10,67.4,31.7,6.4,168,13.2,,,,,,,,,2016,HaiNan Province,海南省
K12,PRJNA609577,K12,-,6,18.3,58,197.6,74,37.4,10.9,70.7,37.7,5.8,161.7,21.8,,,,,,,,,2016,HaiNan Province,海南省
6F629,PRJNA609577,6F629,-,6,17.8,54,209.2,74.4,35.6,10.2,71.3,30.5,6.3,153.8,32.6,,,,,,,,,2016,HaiNan Province,海南省
Huangyesi3,PRJNA609577,Huangyesi3,-,4,15.6,50,128,45.8,35.8,8.7,57.2,25.5,9,167.4,15.3,,,,,,,,,2016,HaiNan Province,海南省
5005,PRJNA609577,5005,-,4,15,58,120.4,32.4,26.9,8.4,52,28.6,7,145.1,39.4,,,,,,,,,2016,HaiNan Province,海南省
IBB14,PRJNA609577,IBB14,-,6.3,16.5,51,201,64.5,32.1,7.1,73.6,27.2,7,146.8,35.3,,,,,,,,,2016,HaiNan Province,海南省
PHW30,PRJNA609577,PHW30,-,5.8,17.8,55,212.2,69.6,32.8,6.3,72.8,28.5,7.7,164.5,14.5,,,,,,,,,2016,HaiNan Province,海南省
Yuanqi123,PRJNA609577,Yuanqi123,-,4.8,14.8,50,130.2,38.4,29.5,8.2,58.5,35.1,3.6,146.9,36.9,,,,,,,,,2016,HaiNan Province,海南省
VA26,PRJNA609577,VA26,-,6,16.3,52,199.4,58.4,29.3,8.9,72.8,28.3,15.6,153.2,28.7,,,,,,,,,2016,HaiNan Province,海南省
B95,PRJNA609577,B95,-,6.3,17.7,57,182.8,53.3,29.1,9.1,67.3,39,4,159.6,24,,,,,,,,,2016,HaiNan Province,海南省
Yuanwu02,PRJNA609577,Yuanwu02,-,4,14,48,125.4,50.8,40.5,9.4,66.2,31,3.2,151.2,29.5,,,,,,,,,2016,HaiNan Province,海南省
Tie7922,PRJNA609577,Tie7922,-,5,16,58,217.6,76.4,35.1,9.5,77.9,23.2,6.7,163.9,23.5,,,,,,,,,2016,HaiNan Province,海南省
Ji842,PRJNA609577,Ji842,-,6,15.8,52,213.4,68.6,32.1,10.9,73.6,35.4,12.2,159.4,28,,,,,,,,,2016,HaiNan Province,海南省
Hai1134,PRJNA609577,Hai1134,-,6.2,17.4,52,200.4,59.2,29.5,9.4,65.1,32.2,8.7,146.4,37.8,,,,,,,,,2016,HaiNan Province,海南省
Cheng687,PRJNA609577,Cheng687,-,5,16.3,57,149.8,41,27.4,8.9,59.4,23.4,6.2,155.2,29.6,,,,,,,,,2016,HaiNan Province,海南省
CI_187_2,PRJNA609577,CI_187_2,-,5,16.3,59,131,44.8,34.2,8.3,56.4,31.9,7.2,144.2,35.3,,,,,,,,,2016,HaiNan Province,海南省
MT42,PRJNA609577,MT42,-,4.5,14.8,49,110.8,32.8,29.6,6.2,48.8,18,7.8,122.1,53.3,,,,,,,,,2016,HaiNan Province,海南省
H95,PRJNA609577,H95,-,5.8,16.2,53,177.6,50.8,28.6,9.9,66.8,31.2,10.8,143.4,39.7,,,,,,,,,2016,HaiNan Province,海南省
C123,PRJNA609577,C123,-,4.8,14.5,53,152.8,36,23.6,9,64.4,30.6,9.8,136.9,45.7,,,,,,,,,2016,HaiNan Province,海南省
WF9,PRJNA609577,WF9,-,5.7,16.7,51,187.6,68.8,36.7,11.5,70.6,31,12.7,132.1,52.9,,,,,,,,,2016,HaiNan Province,海南省
VA59,PRJNA609577,VA59,-,6.3,15.8,51,181,55.6,30.7,9.1,72.6,33.4,10.2,157,25.1,,,,,,,,,2016,HaiNan Province,海南省
VA17,PRJNA609577,VA17,-,6.3,17,52,189.6,46.2,24.4,9.6,75.8,37.8,4.6,156.7,33.6,,,,,,,,,2016,HaiNan Province,海南省
Wu105,PRJNA609577,Wu105,-,3.7,16.7,52,171.2,62.4,36.4,6.9,70.5,36.6,8.8,143.3,47.2,,,,,,,,,2016,HaiNan Province,海南省
75_1,PRJNA609577,75_1,-,6,17.2,58,199,86,43.2,8.3,78.6,30.8,19.3,153.5,33.9,,,,,,,,,2016,HaiNan Province,海南省
Nan21_3,PRJNA609577,Nan21_3,-,5,17,58,170.8,66.6,39,9,60.3,28.9,11.4,151.6,32.8,,,,,,,,,2016,HaiNan Province,海南省
Chang72,PRJNA609577,Chang72,-,4.3,15.3,52,157.4,65.8,41.8,9.9,65.4,36.8,11.8,139.2,42.6,,,,,,,,,2016,HaiNan Province,海南省
Wenhuang31413,PRJNA609577,Wenhuang31413,-,4.8,16,51,138.2,53.8,38.9,9.9,63.1,24.7,8.8,162.4,23.2,,,,,,,,,2016,HaiNan Province,海南省
Hai014,PRJNA609577,Hai014,-,5,14.7,46,153.8,51.8,33.7,7.3,47.6,27.3,4.7,146.4,40.6,,,,,,,,,2016,HaiNan Province,海南省
Ji876,PRJNA609577,Ji876,-,7,17.3,53,184.6,55.2,29.9,9.4,77.2,32.8,4.5,159.9,24.5,,,,,,,,,2016,HaiNan Province,海南省
Hua94,PRJNA609577,Hua94,-,4.3,13.3,45,143.6,41.8,29.1,9.3,64.4,29.1,8.3,146.3,35.1,,,,,,,,,2016,HaiNan Province,海南省
ND255,PRJNA609577,ND255,-,5.4,14.4,46,131.4,44.4,33.8,7.9,62.2,19.6,14,131.8,47.4,,,,,,,,,2016,HaiNan Province,海南省
334_1,PRJNA609577,334_1,-,4.8,15.2,50,139.8,55.8,39.9,8.6,65.6,25.1,13.6,141.8,45.3,,,,,,,,,2016,HaiNan Province,海南省
Qi205,PRJNA609577,Qi205,-,5.3,17.7,54,188.8,84,44.5,10.6,73.8,29.5,9.7,160.3,24.2,,,,,,,,,2016,HaiNan Province,海南省
Zheng22,PRJNA609577,Zheng22,-,5.3,13.3,47,149.3,28.7,19.2,9.3,64.5,30.2,5.8,159.6,23.4,,,,,,,,,2016,HaiNan Province,海南省
Dan340,PRJNA609577,Dan340,-,4.7,15.7,55,153.8,49.2,32,8.9,68.8,29,9.4,162.2,20.8,,,,,,,,,2016,HaiNan Province,海南省
E28,PRJNA609577,E28,-,5.2,17.4,59,159.8,54,33.8,9.5,63,25.2,13.7,159.2,22.7,,,,,,,,,2016,HaiNan Province,海南省
S37,PRJNA609577,S37,-,5.3,17,60,140.6,47.6,33.9,10.1,61,29.8,11,149.2,29.4,,,,,,,,,2016,HaiNan Province,海南省
WIL_22,PRJNA609577,WIL_22,-,6.1,19.1,56,199.4,66.2,33.2,10.9,75.8,36.1,10.8,162.2,21.1,,,,,,,,,2016,HaiNan Province,海南省
WIL_6,PRJNA609577,WIL_6,-,5,15,52,241.8,91.2,37.7,9,73.1,34.9,3.5,144.1,36.3,,,,,,,,,2016,HaiNan Province,海南省
Lx03_2,PRJNA609577,Lx03_2,-,5.3,17.3,53,183.4,65.8,35.9,11,72.9,32.3,9.4,161,22.2,,,,,,,,,2016,HaiNan Province,海南省
811A,PRJNA609577,811A,-,5.7,18,58,165.2,64,38.7,,64.8,23.3,5.4,162.9,23.2,,,,,,,,,2016,HaiNan Province,海南省
Luosu3,PRJNA609577,Luosu3,-,7.3,20.3,50,152,60.8,40,6.5,58.4,23.7,14,149.2,32.6,,,,,,,,,2016,HaiNan Province,海南省
OQ101,PRJNA609577,OQ101,-,5,14,44,142.4,40.6,28.5,7.7,61.7,21.8,11.8,157.3,27.7,,,,,,,,,2016,HaiNan Province,海南省
LH195,PRJNA609577,LH195,-,5.8,18,64,175.4,52.4,29.9,9.5,72.4,30.1,6.8,158.4,23.8,,,,,,,,,2016,HaiNan Province,海南省
Zong31,PRJNA609577,Zong31,-,4,14.7,57,163,55.6,34.1,8.1,61.6,33.7,6.9,153.4,27.6,,,,,,,,,2016,HaiNan Province,海南省
Wu109,PRJNA609577,Wu109,-,4.6,16,53,160,56.4,35.3,8.8,72.5,35.1,7,147.2,41.7,,,,,,,,,2016,HaiNan Province,海南省
RS_710,PRJNA609577,RS_710,-,5,14,45,147.6,32.6,22.1,8.1,60.2,19.9,4.3,148,35.7,,,,,,,,,2016,HaiNan Province,海南省
CS405,PRJNA609577,CS405,-,5.8,15.3,47,168.8,55.2,32.7,7.5,61.6,22.1,6.2,149.7,38.8,,,,,,,,,2016,HaiNan Province,海南省
K14,PRJNA609577,K14,-,,,,130,46,35.4,7,63.5,30,10,160.5,16.8,,,,,,,,,2016,HaiNan Province,海南省
LH214,PRJNA609577,LH214,-,5.7,15.7,55,195.6,59,30.2,9.9,72.6,32.4,4,151.9,28.3,,,,,,,,,2016,HaiNan Province,海南省
Weifeng322,PRJNA609577,Weifeng322,-,4,15,55,112,42.6,38,8.5,53.2,30,3.6,124.1,53.4,,,,,,,,,2016,HaiNan Province,海南省
PHM81,PRJNA609577,PHM81,-,5,13.3,46,144,40.4,28.1,9.1,64.6,20.2,11,152,25.5,,,,,,,,,2016,HaiNan Province,海南省
LH163,PRJNA609577,LH163,-,6.6,18.4,52,180.5,48.5,26.9,8.8,66.8,31.4,6,148.3,32.1,,,,,,,,,2016,HaiNan Province,海南省
PHW43,PRJNA609577,PHW43,-,5.7,15.7,51,188,47,25,10.5,67.4,33.5,5.9,152.4,34.9,,,,,,,,,2016,HaiNan Province,海南省
M14,PRJNA609577,M14,-,5,16,56,171.4,56,32.7,9,65.4,30.2,9.3,145.8,40.7,,,,,,,,,2016,HaiNan Province,海南省
WIL_7,PRJNA609577,WIL_7,-,5.3,16,51,146.2,33.8,23.1,7.8,62.8,27.1,5,160.9,22.2,,,,,,,,,2016,HaiNan Province,海南省
Baiye4,PRJNA609577,Baiye4,-,4.3,14,48,147.8,44,29.8,9.8,61.8,29.5,10.3,160.2,21.1,,,,,,,,,2016,HaiNan Province,海南省
CT52C,PRJNA609577,CT52C,-,5,17.8,57,182.2,62.4,34.2,11.8,63.4,37.1,10.4,163.5,22,,,,,,,,,2016,HaiNan Province,海南省
WIL_5,PRJNA609577,WIL_5,-,5,12.8,45,132,23.8,18,7.1,46.8,19.8,3,134.2,42.6,,,,,,,,,2016,HaiNan Province,海南省
PHR58,PRJNA609577,PHR58,-,6.5,17.5,57,213.3,76.8,36,9.3,72.3,36.3,5.5,156.5,29,,,,,,,,,2016,HaiNan Province,海南省
B14,PRJNA609577,B14,-,5.7,17,51,179.8,61.2,34,8.6,81.6,26.2,7.8,141.6,38,,,,,,,,,2016,HaiNan Province,海南省
Longkang1,PRJNA609577,Longkang1,-,6.4,19,52,207,69.2,33.4,10.4,69.8,38.2,13.2,146.7,30,,,,,,,,,2016,HaiNan Province,海南省
Diangu11A,PRJNA609577,Diangu11A,-,5.3,15.8,49,206.6,70.4,34.1,8.6,85.7,40.7,10.7,138.8,41.5,,,,,,,,,2016,HaiNan Province,海南省
Dong17,PRJNA609577,Dong17,-,5.3,13,45,135,32.6,24.1,7.9,61.8,23.2,10,151.5,32.7,,,,,,,,,2016,HaiNan Province,海南省
OH43,PRJNA609577,OH43,-,5,15.7,52,178.2,55,30.9,9.7,65.5,30.8,7.3,146.6,35.7,,,,,,,,,2016,HaiNan Province,海南省
Cheng18,PRJNA609577,Cheng18,-,6,17,50,173,53.2,30.8,7.6,53.5,28.9,4.7,151.1,36.9,,,,,,,,,2016,HaiNan Province,海南省
Ji533,PRJNA609577,Ji533,-,5,17,57,186.2,68.6,36.8,8.1,71.7,29.5,5.6,150.9,36.1,,,,,,,,,2016,HaiNan Province,海南省
Dan598,PRJNA609577,Dan598,-,6,17,56,167.6,58.2,34.7,10.3,72.5,31.7,15.6,167.2,13.3,,,,,,,,,2016,HaiNan Province,海南省
DH65232,PRJNA609577,DH65232,-,6,18.3,54,205,53.3,26,10,61,36.8,15.3,152.3,34.1,,,,,,,,,2016,HaiNan Province,海南省
LY16F,PRJNA609577,LY16F,-,5.3,17.3,,127.2,47.6,37.4,10.3,70.5,19.7,8,163.1,19.3,,,,,,,,,2016,HaiNan Province,海南省
Jian1495a,PRJNA609577,Jian1495a,-,7,18,57,199.6,66,33.1,9.5,88.9,28.1,4.7,175,9.1,,,,,,,,,2016,HaiNan Province,海南省
178,PRJNA609577,178,-,4.7,16.7,59,152.8,67.2,44,10,62.8,20.5,7.4,150.4,35.5,,,,,,,,,2016,HaiNan Province,海南省
WIL_16,PRJNA609577,WIL_16,-,6,18,59,133.5,49.3,36.9,8.4,48.8,20.2,6.5,164.6,16.6,,,,,,,,,2016,HaiNan Province,海南省
PHWG5,PRJNA609577,PHWG5,-,6,16,55,192.2,60.2,31.3,9.4,70.3,31.7,4,159.8,22.4,,,,,,,,,2016,HaiNan Province,海南省
912,PRJNA609577,912,-,5,15,48,136,35.8,26.3,8,56.8,24.6,5.3,139.6,41.1,,,,,,,,,2016,HaiNan Province,海南省
PHR55,PRJNA609577,PHR55,-,5.2,17.8,56,185.2,67,36.2,8.7,70.8,28,10.5,160.8,21.3,,,,,,,,,2016,HaiNan Province,海南省
LH192,PRJNA609577,LH192,-,5.4,16.8,56,155.2,43.2,27.8,8,76.6,32,4.9,143.1,39.5,,,,,,,,,2016,HaiNan Province,海南省
S7913,PRJNA609577,S7913,-,5.3,19.8,58,155.6,61.5,39.2,10,70.6,31.7,12.6,153.5,30.4,,,,,,,,,2016,HaiNan Province,海南省
Ay420,PRJNA609577,Ay420,-,5,15.6,54,110,46.4,42.2,8.3,61.9,18.1,4.7,160.6,20.9,,,,,,,,,2016,HaiNan Province,海南省
WIL_27,PRJNA609577,WIL_27,-,6.7,16,55,188.6,42.8,22.7,8.2,74.7,28.5,5.2,155.6,30.8,,,,,,,,,2016,HaiNan Province,海南省
WIL_26,PRJNA609577,WIL_26,-,4.5,14.5,52,173.2,65.6,37.9,9.3,69.7,31,6.5,152.4,24.5,,,,,,,,,2016,HaiNan Province,海南省
WIL_13,PRJNA609577,WIL_13,-,5.8,15.8,52,158,50.2,31.8,8.2,70.6,27.3,5,138.2,43.5,,,,,,,,,2016,HaiNan Province,海南省
WIL_9,PRJNA609577,WIL_9,-,5.3,15,49,148.7,50.8,34.2,7.4,51.1,24.2,4.6,142.5,37.4,,,,,,,,,2016,HaiNan Province,海南省
WIL_10,PRJNA609577,WIL_10,-,5,13.8,45,120.4,29.8,24.8,6.4,59.6,18.6,5,149,29.4,,,,,,,,,2016,HaiNan Province,海南省
B37,PRJNA609577,B37,-,5,15.8,56,205.2,83.8,40.8,9.3,65.2,28.4,6.8,152.8,34.3,,,,,,,,,2016,HaiNan Province,海南省
Ye502,PRJNA609577,Ye502,-,5,15.2,48,137.4,34.8,25.3,9.3,60,27,4.4,162.6,22.5,,,,,,,,,2016,HaiNan Province,海南省
WIL_2,PRJNA609577,WIL_2,-,5.8,17.8,57,232,77,33.2,10.6,76.3,31.6,1.5,162.8,23.8,,,,,,,,,2016,HaiNan Province,海南省
Shuang741,PRJNA609577,Shuang741,-,4,15,53,154.8,54.8,35.4,9.4,57.3,27.5,18.8,163.7,22.1,,,,,,,,,2016,HaiNan Province,海南省
B98,PRJNA609577,B98,-,6.8,19.3,57,205,70.8,34.5,9.5,67,31.3,7.7,125,50.2,,,,,,,,,2016,HaiNan Province,海南省
M9,PRJNA609577,M9,-,6,18.7,54,154.4,64,41.5,9.8,65.8,29.5,12,116.5,,,,,,,,,,2016,HaiNan Province,海南省
PHG39,PRJNA609577,PHG39,-,5,17,59,205,81.8,39.9,11,66.9,29.5,9.4,158.8,22.8,,,,,,,,,2016,HaiNan Province,海南省
PHT73,PRJNA609577,PHT73,-,5,14,44,164,39,23.8,9.8,54.8,21.8,5,137.9,42.6,,,,,,,,,2016,HaiNan Province,海南省
6M502A,PRJNA609577,6M502A,-,5,17.3,57,187.2,71.2,38,11.4,66.9,34.1,6.2,145.6,33.9,,,,,,,,,2016,HaiNan Province,海南省
PHVA9,PRJNA609577,PHVA9,-,6.5,16,50,189.4,52.2,27.6,9,71.4,28.8,4.9,151.4,29.4,,,,,,,,,2016,HaiNan Province,海南省
PHT55,PRJNA609577,PHT55,-,5.8,18.8,58,243.8,98,40.2,10.7,74.5,29.5,6.7,166.5,19.8,,,,,,,,,2016,HaiNan Province,海南省
PHV53,PRJNA609577,PHV53,-,5,16.5,56,180,44,24.4,8.3,75.3,,5.4,154.1,29.8,,,,,,,,,2016,HaiNan Province,海南省
PHPR5,PRJNA609577,PHPR5,-,5.3,16.3,53,172.2,45.2,26.2,7.4,69.4,33.5,6.8,163.4,13.9,,,,,,,,,2016,HaiNan Province,海南省
PHP85,PRJNA609577,PHP85,-,6,16,57,155.4,36.4,23.4,8.1,71.2,29.4,3.2,159.8,18.1,,,,,,,,,2016,HaiNan Province,海南省
OS602,PRJNA609577,OS602,-,5,15,48,171,46.2,27,7.1,78,27,4.5,140.8,41.5,,,,,,,,,2016,HaiNan Province,海南省
OQ403,PRJNA609577,OQ403,-,4.4,13.4,48,155.8,46,29.5,6.6,58.4,28.8,6.2,127.6,53.9,,,,,,,,,2016,HaiNan Province,海南省
Tian4,PRJNA609577,Tian4,-,4,17,51,154.8,68.4,44.2,10,64.3,28.9,8.9,156.1,32.8,,,,,,,,,2016,HaiNan Province,海南省
LH190,PRJNA609577,LH190,-,5,17.3,57,201.4,75.4,37.4,8,74.9,30.9,7.2,155.7,30,,,,,,,,,2016,HaiNan Province,海南省
27_263,PRJNA609577,27_263,-,5.5,16.5,51,160.8,60,37.3,9.3,65.3,33.8,5.7,150,29.2,,,,,,,,,2016,HaiNan Province,海南省
LH160,PRJNA609577,LH160,-,5,15,46,198.2,60.4,30.5,8.4,63.1,33.4,6,151.8,33.8,,,,,,,,,2016,HaiNan Province,海南省
PHN82,PRJNA609577,PHN82,-,4.3,14.5,58,144.8,50.8,35.1,9.4,64.8,,5.8,147,41,,,,,,,,,2016,HaiNan Province,海南省
E8501,PRJNA609577,E8501,-,5.2,16.2,55,175.2,61.4,35,10,64.4,36.5,6,145.5,38,,,,,,,,,2016,HaiNan Province,海南省
Dong46,PRJNA609577,Dong46,-,,,59,156,75.3,48.2,9.3,58.9,22.5,16,147.4,38,16.99,2,2,17,,,,,2016,HeBei Province,河北省
K10,PRJNA609577,K10,-,,,61,200.8,59.3,29.5,9.8,73.5,35.8,11.4,150.9,30.1,19.78,2,2,12.6,,,,,2016,HeBei Province,河北省
